AXP,1524,Asphalt,13/31
AXR,1300,Paved,10/28
AXT,2500,Asphalt,10/28
AXU,2400,Asphalt,16/34
AYP,2800,Asphalt,02/20
AYQ,2599,Asphalt,13/31
AYT,2990,Concrete,18R/36L
AYT,3400,Concrete,18C/36C
AYT,3400,Concrete,18L/36R
AZD,4098,Asphalt,13/31
AZN,2978,Concrete,04/22
AZO,1048,Asphalt,05/23
AZO,1982,Asphalt,17/35
AZO,853,Asphalt,09/27
AZR,3000,Asphalt,04/22
AZS,3000,Asphalt,07/25
BAG,1802,Concrete,09/27
BAH,2530,Asphalt,12R/30L
BAH,3964,Asphalt,12L/30R
BAL,3048,Asphalt,02/20
BAQ,3000,Concrete,05/23
BAR,3200,Concrete,15/33
BAS,1650,Grass,05/23
BAV,2800,Asphalt,13/31
BAX,2850,Concrete,06/24
BAY,2150,Asphalt,09/27
BAZ,1200,Asphalt,09/27
BBA,2503,Asphalt,09/27
BBG,1067,Asphalt,07/25
BBI,1378,Unknown,05/23
BBI,2743,Unknown,14/32
BBK,3000,Asphalt,08/26
BBM,1600,Bitumen,07/25
BBN,670,Bitumen,11/29
BBO,3650,Asphalt,05/23
BBQ,500,Paved,10/28
BBR,620,Asphalt,14/32
BCA,1850,Concrete,16/34
BCD,2000,Concrete,03/21
BCI,1115,Clay,14/32
BCI,1702,Asphalt,01/19
BCL,1000,Concrete,16/34
BCM,2500,Concrete,16/34
BCN,2528,Asphalt,02/20
BCN,2660,Asphalt,06R/24L
BCN,3743,Asphalt,06L/24R
BCU,3400,Asphalt,17/35
BCV,1110,Asphalt,11/29
BCW,1000,Asphalt,18/36
BDA,2958,Asphalt,12/30
BDB,1128,Unknown,07/25
BDB,2000,Asphalt,14/32
BDD,820,Sand,12/30
BDH,2500,Asphalt,08/26
BDJ,3000,Asphalt,10/28
BDL,1568,Asphalt,01/19
BDL,2086,Asphalt,15/33
BDL,2898,Asphalt,06/24
BDO,2250,Asphalt,11/29
BDP,1500,Asphalt,10/28
BDQ,2468,Asphalt,04/22
BDR,1426,Asphalt,06/24
BDR,1451,Asphalt,11/29
BDR,975,Asphalt,17/35
BDS,1796,Asphalt,05/23
BDS,3048,Asphalt,13/31
BDT,3200,Asphalt,07/25
